Serial Number,Application Date,Class Index,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
TM2025014786,8 May 2025,,,,Massage apparatus; Facial aesthetic treatment apparatus using ultrasonic waves; Orthopedic articles; Cushions for medical purposes;,Physiotherapy apparatus;,"Quality Oracle Sdn. Bhd., L5-07, Level 5, Wisma 
BU8, No. 11, Lebuh Bandar Utama,  Bandar Utama, 47800 
Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 66"
TM2025014816,8 May 2025,,,,No colour claim,Hearing protection earmuffs;,"Lim Yong Lin, 22A，Jalan Damai Perdana 16/1A, 
43300 Seri Kembangan, Selangor"
TM2025009593,27 March 2025,,,,Electric flashlights;,Flashlights [hand-held lamps];,"Lim Yong Lin, 22A，Jalan Damai Perdana 16/1A, 
43300 Seri Kembangan, Selangor"
TM2025012230,18 April 2025,11,,,"The trademark is limited to the colours as shown in the representation on the form of application. Installation and apparatus for lighting, electric lamp, ceiling lamp, ceiling fan, lamp, light bulbs, electric for lighting, lamp fitting, lamp glass led bulb, led downlight, ventilating fan, stand fan, table fan, fluorescent light fitting, fluorescent lamp, lamp bulb.",AVANCE ELECTRICAL SDN. BHD. ;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025013384,28 April 2025,,,,Range hoods; Bathtubs; Electric ovens; Gas cooktops; Induction cookers;,Microwave ovens [cooking apparatus];,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor"
TM2025013387,28 April 2025,,,,"Range hoods; Bathtubs; Electric ovens; Gas cooktops; Induction cookers; Microwave ovens [cooking apparatus]; Refrigerated display cabinets; Kitchen ranges [ovens]; Kitchen sinks; Shower screens. EMPAVA APPLIANCES INC ; 458 Parriott Place City Of Industry, CA 91745, UNITED STATES OF AMERICA AGENT : Vannesse Lee Pei Eng, Drexworld Management PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor CLASS : 11 TM2025013387 28 April 2025",Electric fans for personal use;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor"
TM2025013404,28 April 2025,,,,"Radiators, electric;",USB-powered hand warmers;,"Gan Wai Kwang, Tiger Intellectual Sdn Bhd; B-1-
11, Plaza Metro Prima, Jalan Metro 1, Metro Prima, 52100 
Kepong, Kuala Lumpur"
TM2025013432,28 April 2025,,,,Advertisement of a series of two trade marks Water filters;,Drinking water filters;,"Quality Oracle Sdn. Bhd., L5-07, Level 5, Wisma 
BU8, No. 11, Lebuh Bandar Utama,  Bandar Utama, 47800 
Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 68"
TM2025014169,2 May 2025,,,,Lampshades; Motorcycle lights; Automobile lights; Light emitting diode [led] lighting apparatus.,"SHENZHEN YAFEI ELECTRONIC COMMERCE CO., LTD.;","Lok Choon Hong, Pintas Consulting Group Sdn. 
Bhd. No. 19, Jalan SS1/36, 47300 Petaling Jaya, Selangor 
AFFOTOM"
TM2025014804,8 May 2025,11,,,No colour claim Toilet bowls;,Toilet bowls and seats sold as a unit;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2025014926,9 May 2025,,,,Toilet bowls;,Toilet bowls and seats sold as a unit;,"Young Seow Yen, Yeo & Young, No. 7, Jalan Remia 2/KS6, Bandar Botanic, 41200 Klang, 
Selangor"
TM2025014991,9 May 2025,,,,,Air cleaning apparatus;,"Young Seow Yen, Yeo & Young, No. 7, Jalan Remia 2/KS6, Bandar Botanic, 41200 Klang, 
Selangor"
TM2025015386,14 May 2025,,,,,"Laundry dryers, electric;","Yeoh Tung Seng, Yeoh & Joanne; B3-3-13A, Block 
B3, Solaris Dutamas, No. 1, Jalan Dutamas 1, 50480 Kuala 
Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 70 
APROMEE"
TM2021020717,28 July 2021,,,,The trademark is limited to the colours as shown in the representation on the form of application. Registration of this trade mark shall give no right to the exclusive use of the words ‘performance’ and ‘racing’.,Automobile wheel rims;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor"
TM2022004274,17 February 2022,,,,"Advertisement of a series of five trade marks The second, third, fourth and fifth trade marks in the series are limited to the colours as shown in the representation on the form of application.",Parts of vehicles (automobiles);,"Yap Chun Sian, No.28, Jalan Putra Permai 9, 
Taman Equine, 43300 Seri Kembangan, Selangor"
TM2024031532,10 October 2024,,,,Axles for vehicles; Automobile bodies; Automobile chassis; Bodies for vehicles;,Brake discs for vehicles;,"Leela Devi A/P Baskaran, Skrine Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur"
TM2025005448,24 February 2025,,,,,Brake shoes for vehicles;,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, 
IPeople Hous"
TM2025012514,21 April 2025,,,,Cars; Motorcycles; Bicycles;,All terrain vehicles [atv];,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, 
IPeople House, 7A Clove Hall Road, 10050 Georgetown, 
Pulau Pinang 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 72 
PHELON & MOORE"
TM2025013867,30 April 2025,12,,,,Brake pads for automobiles;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2025014796,8 May 2025,,,,Locomotives;,"Remote control vehicles, other than toys;","Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur"
TM2025014793,8 May 2025,,,,Locomotives;,"Remote control vehicles, other than toys;","Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 73"
TM2025014794,8 May 2025,,,,Locomotives;,"Remote control vehicles, other than toys;","Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025015208,13 May 2025,,,,"Land vehicles; Car, motorcycles, scooter, bicycles and their and their auto parts and accessories namely V belt, sprocket, bearing, brake shoe, disc pad, chain. YEW NIENG CHUNG ; 43, Jalan Asa Jaya 15, Taman Asa Jaya, 43000 Kajang, Selangor, MALAYSIA FLIPLOCK CLASS : 14 TM2020028985 3 December 2020 Clocks; Watches; Wristwatches; Component parts for clocks and watches;",Anchors [clock- and watchmaking];,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 74"
TM2020028985,3 December 2020,12,,,Clocks; Watches; Wristwatches; Component parts for clocks and watches;,Anchors [clock- and watchmaking];,
TM2025013590,29 April 2025,,,,"Mark translation: ""bare"" , ""blessing"". The combination of the two chinese characters has no meaning. Mark transliteration: Chifu",Badges of precious metal;,"Leela Devi A/P Baskaran, Skrine Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur"
TM2025014392,6 May 2025,,,,,,"Foo Kit Sin, DLAWIP Associate Plt. 61, Jalan Lim 
Bo Seng, 30300 Ipoh, Perak 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 75"
TM2020019049,28 August 2020,,,,It is a condition of registration that the mark shall not be assigned or transferred to any private entity. Manuals [handbooks]; Handbooks [manuals]; Pamphlets; Printed matter; Printed publications.,CYBERSECURITY MALAYSIA ;,"Lim Chiew Ping, Aries Lim & Associates PLT,  D-9-3, Setia Sky Residences, No. 76, Jalan 
Raja Muda Abdul Aziz, Off Jalan Tun Razak, 50300 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 76 
MYTRUSTSEAL"
TM2020023050,7 October 2020,,,,"Advertisement of a series of two trade marks The second trade mark in the series is limited to the colours as shown in the representation on the form of application. Bags [envelopes, pouches] of paper or plastics, for packaging;",Boxes of paper or cardboard;,"Deepak Chandrasekaran Pillai, Christopher & Lee 
Ong Level 22, Axiata Tower No. 9, Jalan Stesen Sentral 5, 
50470 Kuala Lumpur"
TM2023003966,17 February 2023,,,,"Mark translation: ""work"", ""conquers"", ""all"". Mark transliteration: ""labor"", ""omnia"", ""vincit"". Disclaimer: the words ""cheltenham"", ""college"" and the latin words ""labor omnia vincit"" separately. Printed matter;",Instructional and teaching materials;,"Christopher & Lee Ong, Level 22, Axiata Tower, 
No. 9 Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 
Kuala Lumpur"
TM2023003968,17 February 2023,,,,"Mark translation: ""cheltenham college"". Mark transliteration: ""qiao ting han gong xue"". Disclaimer: the chinese characters ""qiao ting han"" and ""gong xue"" separately. Printed matter;",Instructional and teaching materials;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2023003970,17 February 2023,,,,"Disclaimer: the words ""cheltenham"" and ""college"" separately. Printed matter;",Instructional and teaching materials;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 78 
CHELTENHAM COLLEGE"
TM2023006969,9 March 2023,,,,Paper labels; Paper cartons for delivering goods;,Photographs [printed];,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2025005449,24 February 2025,,,,Paper and cardboard; Stationery; Printing paper; Writing paper; Drawing paper; Typewriter paper; White paperboard; Postcard paper; Tissue paper; Paper tissues; Paper for photocopying; Photocopying paper; Facsimile transmission paper; Letter paper;,Drawing tablets [drawing pads];,"Low Chee Keong, IPMAN Global Intellect Sdn. 
Bhd. No. 3A-08, Hab Citrine, Persiaran Medini 3, Bandar 
Medini Iskandar, 79250 Iskandar Puteri, Johor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 79"
TM2025012323,18 April 2025,,,,Books; Flyers; Stickers; Activity books; Advertising pamphlets;,Bookbinding materials;,"Isaac Stephen Huang, 368-3-1& 2, Belissa Row, 
Jalan Burma, 10350 Georgetown, Pulau Pinang"
TM2025013921,30 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. The translation of the arabic script of which the mark consist of is “camel step”. The transliteration of the arabic script of which the mark consist of is “khutwa jamal”.,Absorbent sheets of paper or plastic for foodstuff packaging;,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 80"
TM2025014462,7 May 2025,,,,,Packing materials of paper;,"Nur Atiqah Bt Samian, TAG Intellectual Property 
Consulting and Training Sdn. Bhd., E-08-09, Bangsar Trade 
Centre, Off Jalan Pantai Baharu, 59200 Kuala Lumpur"
TM2025014466,7 May 2025,,,,,Packing materials of paper;,"Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval 
Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 
Kuala Lumpur"
TM2025014813,8 May 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application.,"Mark translation: ""unite"";","Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval 
Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 
Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 81"
TM2021000166,5 January 2021,,,,"Beach bags, all-purpose sport bags, backpacks, book bags, sports bags, bum bags, wallets and handbags, shoulder bags, waist packs, yoga bags.",BODY GLOVE IP HOLDINGS LP ;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor"
TM2021035895,22 December 2021,18,,,,,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur 
BODY GLOVE"
TM2022019221,28 July 2022,,,,"Mark translation: banana, below. As a whole has no specific meaning. Mark transliteration: Jiao xia Fur; Rucksacks; Trunks [luggage]; Bags for campers; Bags for climbers; Pocket wallets; Shopping bags; Key cases; Sport bags; Tote bags;",Furniture coverings of leather;,"Indran A/L Shanmuganathan, Shearn Delamore & Co. 7th. Floor, Wisma Hamzah-Kwong 
Hing No. 1, Leboh Ampang, 50100 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 82"
TM2025012098,17 April 2025,,,,,Leather and imitation leather;,"Tai Foong Lam, Gan Partnership D-32-02, Menara 
SUEZCAP 1, KL Gateway No. 2, Jalan Kerinchi, Gerbang 
Kerinchi Lestari, 59200 Kuala Lumpur"
TM2025012589,22 April 2025,,,,CLASS 18 Rucksacks;,Moleskin [imitation of leather];,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025014173,5 May 2025,21,,,,All purpose sports bags;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, Seri Kembangan 43300 Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 83"
TM2025014548,7 May 2025,,,,"Bags; Backpacks; Purses; Handbags; Clutch bags; Trunks being luggage; Key cases; Pouches for holding make-up, keys and other personal items;",Travelling bags [leatherware];,
TM2025014934,9 May 2025,,,,CLASS 18 Bags; Bags for sports; Handbags; Backpacks; Trunks [luggage]; Harness straps. CLASS 25 Clothing;,Clothing for gymnastics;,"Quah Su Yee, ACCOLADE IP (M) SDN BHD., 3-8, 
The Boulevard, Mid Valley City, Lingkaran Syed Putra, Kuala 
Lumpur 59200  
TRIXSTAR"
TM2020003257,20 February 2020,,,,,"Building materials, not of metal;","Hemamaliny A/P K. Supramania Pillay, The IP Co. 
Level 35-02, East Wing, Q-Sentral 2A, Jalan Stesen Sentral 
2, 50470 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 84"
TM2025010320,3 April 2025,,,,CLASS 19 Boards of wood;,Building materials of wood;,"Lok Choon Hong, Pintas Consulting Group Sdn. 
Bhd. No. 19, Jalan SS1/36, 47300 Petaling Jaya, Selangor"
TM2025013386,28 April 2025,,,,,"Ceramic tiles for walls, floors and ceilings;","Chia Wilson, Block C-7-5 & C-7-8 Level 7),  Menara 
Uncang Emas (UE3), 85, Jalan Loke Yew, 52200 Kuala 
Lumpur"
TM2025014914,9 May 2025,,,,No colour claim. Bricks; Mosaics for building; Ceramic tiles; Wooden floor tiles;,"Tiles, not of metal, for building;","Yip Jiun Hann, TRADEMARK2U Sdn Bhd No. 1, 
Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri 
Damansara, 52200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 85"
TM2023010249,12 April 2023,,,,Arm chairs; Lawn chairs; Chairs [seats]; Desks; Cupboards; Wardrobes; Sofas; Bean bag chairs; Bean bag pillows;,Showcases [furniture];,"Young Seow Yen, Yeo & Young, No. 7, Jalan 
Remia 2/KS6, Bandar Botanic, 41200 Klang, Selangor 
DENISH"
TM2025012339,18 April 2025,,,,Advertisement of a series of two trade marks,Furniture partitions of wood;,"Indran A/L Shanmuganathan, Shearn Delamore & Co. 7th. Floor, Wisma Hamzah-Kwong 
Hing No. 1, Leboh Ampang, 50100 Kuala Lumpur"
TM2025013596,29 April 2025,,,,Desks; Office furniture; Furniture; Filing cabinets; Chairs [seats]; Hat stands; Counters [tables]; Tables*; Racks [furniture];,Flower-stands [furniture];,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck 
Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur"
TM2025013597,29 April 2025,,,,Desks; Office furniture; Furniture; Filing cabinets; Chairs [seats]; Hat stands; Counters [tables]; Tables*; Racks [furniture];,Flower-stands [furniture];,"Liang Pey Huey , C/O IPON9 Sdn. Bhd., 7A Clove 
Hall Road, 10050 Georgetown, Pulau Pinang"
TM2025013598,29 April 2025,,,,,Flower-stands [furniture];,"Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7A Clove 
Hall Road, 10050 Georgetown, Pulau Pinang 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 87"
TM2025014927,9 May 2025,,,,Bar furniture;,Bathroom vanities being furniture;,"Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7A CLOVE 
Hall Road, 10050 Georgetown, Pulau Pinang"
TM2025015215,13 May 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. CLASS 20 Cabinets (furniture); Furniture; Home furniture; Sofa; Sofa beds; Arm chairs; Chairs; Bedroom furniture. CLASS 35 Advertising and marketing services provided by means media social;,Advertising and promotional services;,"Lim Wee Foo, TradeNexus Consultancy Sdn. Bhd. 
183, Woon Estate, 73000 Tampin, Negeri Sembilan"
TM2025013922,30 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. The translation of the arabic script of which the mark consist of is “camel step”. The transliteration of the arabic script of which the mark consist of is “khutwa jamal”.,Automatic opening and closing trash cans;,
TM2025014377,6 May 2025,,,,Toothbrushes;,"Toothbrushes, electric or non-electric;","Nur Atiqah Bt Samian, TAG Intellectual Property Consulting and Training Sdn. Bhd., E-08-
09, Bangsar Trade Centre, Off Jalan Pantai Baharu, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 89"
TM2025007445,12 March 2025,21,,,Bed linen; Bed sheets;,Cot bumpers [bed linen];,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025013599,29 April 2025,,,,Bedspreads; Bed covers; Mattress covers; Bed covers of paper;,Travelling rugs [lap robes];,"Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7A Clove 
Hall Road, 10050 Georgetown, Pulau Pinang 
INTELL"
TM2025014167,2 May 2025,,,,Upholstery fabrics;,"Bath linen, except clothing;","Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7A Clove 
Hall Road, 10050 Georgetown, Pulau Pinang 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 90 
keyiL"
TM2021000167,5 January 2021,,,,,,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2021034373,7 December 2021,,,,"No colour claim Articles of clothing, footwear, headgear, ready-made- clothing.",NORAINI BINTI HANIPAH ;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur"
